@relation '7'

@attribute pred_Activity {lying,walking,sitting,standing,kneeling,allfours,transition,standing_leaning,cycling,running}
@attribute peakCount numeric
@attribute Z_breathRate numeric
@attribute Z_heartRate numeric
@attribute Z_skinTemp numeric
@attribute SW_GSR numeric
@attribute SW_NearBodyTemp numeric
@attribute SW_skinTemp numeric
@attribute cosmed numeric

@data
lying,0,16.628273,27.294343,9,10.065443,8.773825,9.580423,2.180685
lying,0,15.835286,30.815271,9,10.065443,8.773825,9.580423,1.939068
lying,0,12.135006,28.518269,9,10.065443,8.773825,9.580423,1.748847
lying,0,10.189698,26.728945,9,10.065443,8.773825,9.580423,1.588409
lying,0,9.839811,28.902078,9,10.065443,8.773825,9.580423,1.87796
lying,0,9.839811,33.32431,9,10.065443,8.773825,9.580423,1.954152
lying,0,10.012971,36.672756,9,10.046378,8.983292,9.690023,1.859256
lying,0,10.839811,33.889931,9,10.046378,8.983292,9.690023,1.86796
lying,0,11.597589,32.217634,9,10.046378,8.983292,9.690023,1.806116
lying,0,12.453144,31.188745,9,10.046378,8.983292,9.690023,1.773823
lying,0,12.819722,30.836582,9.484375,10.046378,8.983292,9.690023,1.927048
lying,0,12.863881,32.671657,10,10.046378,8.983292,9.690023,1.806214
lying,0,10.987462,37.049699,10,10.030248,9.235236,9.755863,1.495783
lying,0,9.839811,33.433189,10,10.030248,9.235236,9.755863,1.501197
lying,0,9.041566,30.182838,10,10.030248,9.235236,9.755863,1.478996
lying,0,11.139146,30.072081,10,10.030248,9.235236,9.755863,1.473046
lying,0,11.833115,32.218279,10,10.030248,9.235236,9.755863,1.615434
lying,0,12.056329,32.336582,10,10.030248,9.235236,9.755863,1.745486
lying,0,12.819677,27.517261,10,10.017784,9.466761,9.843742,1.529451
lying,0,11.614078,28.110435,10,10.017784,9.466761,9.843742,1.515247
lying,0,10.21099,32.560089,10,10.017784,9.466761,9.843742,1.367402
lying,0,9.839811,30.915532,10,10.017784,9.466761,9.843742,1.453934
lying,0,9.935579,29.938445,10,10.017784,9.466761,9.843742,1.438987
lying,0,10.587538,29.98228,10,10.017784,9.466761,9.843742,1.360952
lying,0,11.280601,30.553452,10,10.008253,9.698855,9.931728,1.579793
lying,0,11.088148,33.198466,10,10.008253,9.698855,9.931728,1.586774
lying,0,9.535175,33.255308,10,10.008253,9.698855,9.931728,1.404252
lying,0,9.765319,28.060774,10,10.008253,9.698855,9.931728,1.265848
lying,0,11.489049,25.414148,10,10.008253,9.698855,9.931728,1.271682
lying,0,10.814811,25.168644,10,10.008253,9.698855,9.931728,1.271368
lying,0,9.839811,26.785443,10,9.998723,9.9739,9.997791,1.303305
lying,0,9.771829,29.950382,10,9.998723,9.9739,9.997791,1.323817
lying,0,8.839811,31.742793,10,9.998723,9.9739,9.997791,1.280748
lying,0,9.813321,33.93522,10,9.998723,9.9739,9.997791,1.753469
lying,0,9.060562,29.884448,10,9.998723,9.9739,9.997791,1.421563
lying,0,8.839811,27.050868,10,9.998723,9.9739,9.997791,1.202746
lying,0,8.741985,27.884059,10,9.992125,10.271044,10.063915,1.246536
lying,0,9.824324,32.595313,10,9.992125,10.271044,10.063915,1.300217
lying,0,9.839811,32.992049,10,9.992125,10.271044,10.063915,1.555952
lying,0,9.839811,31.090967,10,9.992125,10.271044,10.063915,1.448246
lying,0,9.839811,30.072045,10,9.992125,10.271044,10.063915,1.448246
lying,0,11.434466,30.170071,10,9.992125,10.271044,10.063915,1.213319
lying,0,10.117344,31.39918,10,9.98626,10.483904,10.1301,1.010705
lying,0,8.839811,31.553365,10,9.98626,10.483904,10.1301,1.436779
lying,0,9.140032,27.90873,10,9.98626,10.483904,10.1301,1.410446
lying,0,9.5448,28.189241,10,9.98626,10.483904,10.1301,1.452623
lying,0,9.420742,29.945695,10,9.98626,10.483904,10.1301,1.326086
lying,0,8.839811,31.050768,10,9.98626,10.483904,10.1301,1.18777
lying,0,9.431329,31.124529,10,9.981129,10.633219,10.19635,1.323758
lying,0,9.669025,34.714762,10,9.981129,10.633219,10.19635,1.35015
lying,0,9.777171,31.206299,10,9.981129,10.633219,10.19635,1.188744
lying,0,11.577479,29.429691,10,9.981129,10.633219,10.19635,1.464851
lying,0,12.079721,28.144938,10,9.981129,10.633219,10.19635,1.637807
lying,0,11.760864,28.695996,10,9.981129,10.633219,10.19635,1.3457
lying,0,10.536714,28.020092,10,9.978197,10.782797,10.262661,1.346345
lying,0,12.20928,29.141773,10,9.978197,10.782797,10.262661,1.428671
lying,0,14.274401,31.034387,10,9.978197,10.782797,10.262661,1.319755
