@relation '4'

@attribute pred_Activity {lying,walking,sitting,standing,kneeling,allfours,transition,standing_leaning,cycling,running}
@attribute peakCount numeric
@attribute Z_breathRate numeric
@attribute Z_heartRate numeric
@attribute Z_skinTemp numeric
@attribute SW_GSR numeric
@attribute SW_NearBodyTemp numeric
@attribute SW_skinTemp numeric
@attribute cosmed numeric

@data
lying,14,13.799227,27.985827,9.614611,9.999123,9.221846,9.629527,1.015156
lying,16,14.09315,23.317935,9.614611,9.999123,9.221846,9.629527,0.848467
lying,5,14.397401,21.973934,9.614611,9.996921,9.417507,9.697441,1.095731
lying,12,14.193781,21.475724,9.614611,9.996921,9.417507,9.697441,0.985685
lying,10,13.701455,24.781551,9.614611,9.996921,9.417507,9.697441,0.969292
lying,12,14.305897,25.587254,9.614611,9.996921,9.417507,9.697441,0.789325
lying,17,13.99122,27.338484,9.614611,9.996921,9.417507,9.697441,1.044446
lying,22,12.652434,26.933147,9.614611,9.996921,9.417507,9.697441,0.704268
lying,7,10.354219,24.721662,9.614611,9.993984,9.548229,9.76543,0.864231
lying,20,8.671558,26.205344,9.614611,9.993984,9.548229,9.76543,0.979268
lying,11,10.025308,27.639156,9.614611,9.993984,9.548229,9.76543,1.097943
lying,11,14.852956,27.409389,9.614611,9.993984,9.548229,9.76543,0.987872
lying,5,15.856198,26.910591,9.614611,9.993984,9.548229,9.76543,1.129611
lying,22,12.800178,26.330037,9.614611,9.993984,9.548229,9.76543,1.111208
lying,9,6.729969,26.490948,9.614611,9.980038,9.679182,9.833492,1.210534
lying,5,4.452956,28.109389,9.614611,9.980038,9.679182,9.833492,0.969234
lying,13,7.923832,25.957495,9.614611,9.980038,9.679182,9.833492,1.003766
lying,5,8.851946,25.305752,9.614611,9.980038,9.679182,9.833492,0.88095
lying,3,9.989418,22.850542,9.614611,9.980038,9.679182,9.833492,1.029674
lying,7,9.876946,22.248934,9.614611,9.980038,9.679182,9.833492,1.220857
