@relation '1'

@attribute pred_Activity {lying,walking,sitting,standing,kneeling,allfours,transition,standing_leaning,cycling,running}
@attribute peakCount numeric
@attribute Z_breathRate numeric
@attribute Z_heartRate numeric
@attribute Z_skinTemp numeric
@attribute SW_GSR numeric
@attribute SW_NearBodyTemp numeric
@attribute SW_skinTemp numeric
@attribute cosmed numeric

@data
lying,0,6.676692,28.313323,9,9.989832,8.896216,9.531757,1.794084
lying,0,7.841118,30.122757,9.691244,9.989832,8.896216,9.531757,2.001514
lying,0,9.466472,30.237207,10,9.989832,8.896216,9.531757,1.48059
lying,0,9.166003,29.72519,10,9.989832,8.896216,9.531757,1.992064
lying,0,9.166003,29.236432,10,9.989832,8.896216,9.531757,1.466943
lying,0,8.648682,27.517895,10,9.989832,8.896216,9.531757,1.560346
lying,0,8.881265,27.843777,10,9.992031,9.062034,9.639967,1.368772
lying,0,9.570066,28.30594,10,9.992031,9.062034,9.639967,1.31873
lying,0,10.781912,27.435105,10,9.992031,9.062034,9.639967,1.17039
lying,0,10.954082,26.928949,10,9.992031,9.062034,9.639967,1.578729
lying,0,10.166003,26.336323,10,9.992031,9.062034,9.639967,1.394902
lying,0,10.166003,27.545217,10,9.992031,9.062034,9.639967,1.218496
lying,0,10.465322,27.597448,10,9.993497,9.269651,9.726644,1.217211
lying,0,10.12719,26.825091,10,9.993497,9.269651,9.726644,1.317179
lying,0,8.633123,25.946655,10,9.993497,9.269651,9.726644,1.273271
lying,0,8.619274,25.430156,10,9.993497,9.269651,9.726644,1.351808
lying,0,9.769142,29.907211,10,9.993497,9.269651,9.726644,1.243358
lying,0,10.084185,34.228287,10,9.995696,9.498481,9.813419,1.001818
lying,0,12.497053,33.955228,10,9.995696,9.498481,9.813419,0.995918
lying,0,12.352816,35.757958,10,9.995696,9.498481,9.813419,1.23596
lying,0,10.431768,36.023783,10,9.995696,9.498481,9.813419,1.138435
lying,0,10.500078,32.242096,10,9.995696,9.498481,9.813419,1.038755
lying,0,10.891449,30.421144,10,9.995696,9.498481,9.813419,0.959601
lying,0,8.911923,33.340642,10,9.997895,9.727801,9.900293,1.192095
lying,0,7.552577,34.160232,10,9.997895,9.727801,9.900293,1.124991
lying,0,8.166003,32.316269,10,9.997895,9.727801,9.900293,1.140628
lying,0,7.65421,27.292438,10,9.997895,9.727801,9.900293,1.051263
lying,0,8.778198,25.523409,10,9.997895,9.727801,9.900293,1.398669
lying,0,9.96983,26.64312,10,9.997895,9.727801,9.900293,1.194587
lying,0,10.270119,27.340636,10,9.999362,9.957624,9.987266,1.257293
lying,0,10.75605,31.251036,10,9.999362,9.957624,9.987266,1.021113
lying,2,10.626832,29.873909,10,9.999362,9.957624,9.987266,1.456253
lying,0,9.765534,27.508381,10,9.999362,9.957624,9.987266,1.276615
lying,0,9.793637,26.817514,10,9.999362,9.957624,9.987266,1.174991
lying,0,9.266459,29.2292,10,9.999362,9.957624,9.987266,1.05644
lying,0,10.166003,30.783436,10,10.001561,10.167003,10.052561,1.090577
lying,0,10.206727,31.987563,10,10.001561,10.167003,10.052561,1.039757
lying,0,11.028305,32.44138,10,10.001561,10.167003,10.052561,1.136359
lying,0,9.433702,30.950854,10,10.001561,10.167003,10.052561,1.088908
lying,0,9.663709,27.824159,10,10.001561,10.167003,10.052561,1.110257
lying,0,11.122325,28.538632,10,10.001561,10.167003,10.052561,1.094359
lying,0,10.516117,25.911582,10,10.003027,10.376823,10.139709,1.272009
lying,0,10.652114,24.74125,10,10.003027,10.376823,10.139709,0.992703
lying,0,10.889656,24.723838,10,10.003027,10.376823,10.139709,1.011203
lying,0,10.199635,26.631426,10,10.003027,10.376823,10.139709,1.074888
lying,0,9.063962,29.7267,10,10.003027,10.376823,10.139709,1.108119
lying,0,9.631482,32.783298,10,10.003027,10.376823,10.139709,0.994174
lying,0,9.682058,32.931957,10,10.005226,10.566045,10.226961,1.049558
lying,0,9.559668,30.32693,10,10.005226,10.566045,10.226961,1.085644
lying,0,8.759106,28.745529,10,10.005226,10.566045,10.226961,0.985436
lying,0,9.75961,27.553401,10,10.005226,10.566045,10.226961,1.095641
lying,0,9.166003,26.142182,10,10.005226,10.566045,10.226961,1.100272
lying,0,8.269214,25.539755,10,10.005226,10.566045,10.226961,1.04067
lying,0,8.982232,26.639266,10,10.006692,10.755643,10.292465,1.052723
lying,0,10.166003,27.119196,10,10.006692,10.755643,10.292465,1.256748
lying,0,10.068225,29.910509,10,10.006692,10.755643,10.292465,0.929368
lying,0,9.475258,30.335285,10,10.006692,10.755643,10.292465,0.979701
lying,0,10.856268,30.508376,10,10.006692,10.755643,10.292465,1.0909
lying,0,9.842608,29.824159,10,10.006692,10.755643,10.292465,1.133814
lying,0,9.166003,29.433265,10,10.008891,10.945622,10.379896,1.017302
lying,0,9.586584,29.43992,10,10.008891,10.945622,10.379896,0.998753
lying,0,10.126922,28.111046,10,10.008891,10.945622,10.379896,1.106497
lying,0,10.003902,27.286278,10,10.008891,10.945622,10.379896,1.100494
lying,0,9.358663,28.913608,10,10.008891,10.945622,10.379896,1.0877
lying,0,8.607707,28.945328,10,10.008891,10.945622,10.379896,1.100713
lying,0,9.166003,28.37366,10,10.010358,11.114821,10.445537,1.086547
lying,0,9.721307,30.337542,10,10.010358,11.114821,10.445537,1.066056
lying,0,10.437464,30.257986,10,10.010358,11.114821,10.445537,1.008575
lying,0,10.136657,31.852215,10,10.010358,11.114821,10.445537,1.003957
lying,0,8.591584,34.625962,10,10.010358,11.114821,10.445537,1.053244
lying,0,8.363704,34.557023,10,10.010358,11.114821,10.445537,1.022044
lying,0,8.734931,34.660672,10,10.011824,11.284337,10.511238,1.167453
lying,0,8.284185,33.323742,10,10.011824,11.284337,10.511238,1.157176
lying,0,8.93032,32.772781,10,10.011824,11.284337,10.511238,1.129518
lying,0,9.861752,32.842605,10,10.011824,11.284337,10.511238,1.105518
lying,0,8.475258,29.36463,10,10.011824,11.284337,10.511238,1.087886
lying,0,9.652178,27.233356,10,10.011824,11.284337,10.511238,1.003428
lying,0,10.166003,26.535014,10,10.01329,11.454173,10.576998,1.096243
lying,0,9.752436,27.065486,10,10.01329,11.454173,10.576998,1.184101
lying,0,9.369093,28.045947,10,10.01329,11.454173,10.576998,1.168022
lying,0,9.653417,29.609523,10,10.01329,11.454173,10.576998,1.101196
lying,0,9.884684,29.676639,10,10.01329,11.454173,10.576998,1.11057
lying,0,9.934542,32.601321,10,10.01329,11.454173,10.576998,1.203082
lying,0,8.060385,33.491209,10,10.014023,11.390447,10.642816,0.831419
lying,0,8.166003,30.393152,10,10.014023,11.390447,10.642816,0.858433
lying,0,6.408225,33.110509,10,10.014023,11.390447,10.642816,0.833793
lying,0,5.166003,43.037337,10,10.014023,11.390447,10.642816,0.99645
lying,0,5.606183,56.12761,10,10.014023,11.390447,10.642816,1.017322
lying,0,7.002408,65.019071,10,10.014023,11.390447,10.642816,1.064721
lying,0,7.166003,57.505246,10,10.016222,11.135993,10.708696,1.059811
lying,4,8.95188,49.415531,10,10.016222,11.135993,10.708696,1.187966
lying,0,14.796875,44.426498,10,10.016222,11.135993,10.708696,1.193584
walking,84,11.207066,27.117659,10,10.016222,11.135993,10.708696,2.290233
walking,78,12.86813,29.999918,10,10.016222,11.135993,10.708696,2.517925
sitting,102,12.147696,24.939042,10,10.016222,11.135993,10.708696,2.413819
sitting,108,10.857967,23.425609,10,10.016222,11.135993,10.708696,1.578679
sitting,106,9.651196,24.497536,10,10.016222,11.135993,10.708696,1.271573
sitting,96,9.981169,28.86715,10,10.02502,11.369214,11.105257,1.388887
sitting,105,8.948913,31.217664,10,10.02502,11.369214,11.105257,1.206372
sitting,100,8.998944,29.625934,10,10.02502,11.369214,11.105257,1.056639
sitting,107,10.166003,29.31064,10,10.02502,11.369214,11.105257,1.27202
sitting,105,10.371317,30.458239,10,10.02502,11.369214,11.105257,1.077536
sitting,109,10.166003,36.014236,10,10.02502,11.369214,11.105257,0.914275
sitting,111,9.240249,32.427359,10,10.025753,11.411683,11.171568,0.925533
sitting,112,9.858674,30.096845,10,10.025753,11.411683,11.171568,0.888251
sitting,117,9.202532,28.060251,10,10.025753,11.411683,11.171568,0.836836
sitting,107,9.367859,26.339192,10,10.025753,11.411683,11.171568,0.78844
sitting,115,9.203126,27.448241,10,10.025753,11.411683,11.171568,1.012532
sitting,112,9.416577,30.035184,10,10.025753,11.411683,11.171568,0.992804
sitting,114,9.308531,29.809896,10,10.027219,11.475427,11.215811,1.017085
sitting,111,9.166003,28.818382,10,10.027219,11.475427,11.215811,1.033822
sitting,116,9.166003,31.638496,10,10.027219,11.475427,11.215811,0.925548
sitting,114,9.228215,31.399255,10,10.027219,11.475427,11.215811,1.031269
sitting,108,9.711457,30.457192,10,10.027219,11.475427,11.215811,1.106621
sitting,114,9.067642,30.70276,10,10.027219,11.475427,11.215811,0.918973
sitting,115,10.04246,31.706609,10,10.027952,11.496684,11.26008,1.163634
sitting,113,10.615175,31.255238,10,10.027952,11.496684,11.26008,1.207627
sitting,117,11.773393,30.141451,10,10.027952,11.496684,11.26008,0.929348
sitting,113,10.373376,31.519071,10,10.027952,11.496684,11.26008,0.99769
sitting,107,9.560802,30.290699,10,10.027952,11.496684,11.26008,0.998728
sitting,109,10.07701,27.838592,10,10.027952,11.496684,11.26008,1.18139
sitting,110,9.57016,29.79965,10,10.028686,11.496684,11.282228,1.097677
sitting,109,9.869532,33.435346,10,10.028686,11.496684,11.282228,1.17603
sitting,113,11.476591,49.023581,10,10.028686,11.496684,11.282228,1.198954
sitting,115,13.166003,55.630139,10,10.028686,11.496684,11.282228,1.226999
sitting,112,13.887722,56.028287,10,10.028686,11.496684,11.282228,0.979707
sitting,115,13.9425,57.975292,10,10.028686,11.496684,11.282228,1.086974
sitting,111,12.564129,54.021261,10,10.029419,11.539214,11.30438,0.985453
sitting,112,12.606003,48.552993,10,10.029419,11.539214,11.30438,1.190655
sitting,101,10.938417,40.38231,10,10.029419,11.539214,11.30438,1.032418
walking,83,9.76884,35.770604,10,10.029419,11.539214,11.30438,2.242567
standing,104,10.313654,30.62784,10,10.029419,11.539214,11.30438,1.545958
sitting,91,11.166003,29.531833,10,10.029419,11.539214,11.30438,2.037699
standing,103,11.635629,35.841371,10,10.030152,11.581765,11.32654,1.999043
standing,105,11.211874,37.457186,10,10.030152,11.581765,11.32654,1.293738
standing,108,11.166003,32.374529,10,10.030152,11.581765,11.32654,1.981422
standing,104,10.336963,33.822198,10,10.030152,11.581765,11.32654,1.28014
standing,111,9.565546,33.927831,10,10.030152,11.581765,11.32654,1.007691
standing,111,9.738401,34.566749,10,10.030152,11.581765,11.32654,1.389317
standing,108,10.166003,35.159624,10,10.030885,11.624337,11.370882,1.127413
standing,98,11.093233,34.758334,10,10.030885,11.624337,11.370882,1.087514
standing,106,11.502346,38.091493,10,10.030885,11.624337,11.370882,1.18293
standing,108,9.565106,35.07313,10,10.030885,11.624337,11.370882,1.167492
standing,105,10.166003,35.6141,10,10.030885,11.624337,11.370882,1.300197
standing,113,10.072462,33.148555,10,10.030885,11.624337,11.370882,1.220329
standing,107,10.564636,34.217353,10,10.031618,11.66693,11.393064,1.134672
standing,110,10.166003,36.7384,10.096629,10.031618,11.66693,11.393064,1.13606
standing,109,9.673695,37.571144,11,10.031618,11.66693,11.393064,1.270093
standing,105,10.879305,41.925076,11,10.031618,11.66693,11.393064,1.532041
standing,110,11.166003,38.460105,11,10.031618,11.66693,11.393064,1.215215
standing,117,10.034185,37.448742,11,10.031618,11.66693,11.393064,1.283803
standing,110,8.116453,37.359368,11,10.033084,11.709544,11.415251,1.170303
standing,107,8.430843,39.16299,11,10.033084,11.709544,11.415251,1.110338
standing,106,8.733931,39.228733,11,10.033084,11.709544,11.415251,1.158106
standing,104,9.132595,40.313365,11,10.033084,11.709544,11.415251,1.586232
standing,118,9.660385,41.313681,11,10.033084,11.709544,11.415251,1.44487
standing,112,10.166003,43.650407,11,10.033084,11.709544,11.415251,1.212279
standing,109,9.624718,44.814984,11,10.033818,11.730859,11.45965,1.114941
standing,113,9.706048,38.236525,11,10.033818,11.730859,11.45965,1.114941
standing,101,9.210846,37.039498,11,10.033818,11.730859,11.45965,1.403382
standing,102,9.166003,36.285759,11,10.033818,11.730859,11.45965,1.453619
standing,103,9.166003,36.914598,11,10.033818,11.730859,11.45965,1.023032
standing,102,10.888598,38.45558,11,10.033818,11.730859,11.45965,1.085606
standing,102,10.673146,47.521144,11,10.034551,11.624337,11.481859,1.458398
standing,114,12.114721,54.930385,11,10.034551,11.624337,11.481859,1.589007
standing,118,13.674012,50.458493,11,10.034551,11.624337,11.481859,0.995198
standing,109,13.166003,48.42173,11,10.034551,11.624337,11.481859,1.24861
standing,112,12.38398,47.115928,11,10.034551,11.624337,11.481859,1.801235
standing,110,10.764197,43.249506,11,10.034551,11.624337,11.481859,1.535459
standing,108,10.975862,38.640963,11,10.036017,11.624337,11.481859,1.030591
walking,81,11.514671,39.672355,11,10.036017,11.624337,11.481859,1.436377
sitting,100,10.973342,30.204893,11,10.065345,11.624337,12.241407,1.891265
sitting,107,11.874049,29.499552,11,10.065345,11.624337,12.241407,1.413865
sitting,114,11.166003,31.253058,11,10.065345,11.624337,12.241407,1.609613
sitting,123,10.669404,33.345748,11,10.065345,11.624337,12.241407,1.031408
sitting,113,11.166003,30.29978,11,10.065345,11.624337,12.241407,1.00855
sitting,110,10.55528,30.764884,11,10.065345,11.624337,12.241407,1.065837
sitting,112,9.636049,33.887734,11,10.066079,11.688235,12.308847,1.08313
sitting,113,9.556414,38.13331,11,10.066079,11.688235,12.308847,1.159821
sitting,111,8.896861,40.367034,11,10.066079,11.688235,12.308847,1.087633
sitting,107,9.372425,34.37003,11,10.066079,11.688235,12.308847,1.019563
sitting,112,11.278679,33.697301,11,10.066079,11.688235,12.308847,1.466161
sitting,115,10.738417,31.474264,11,10.066079,11.688235,12.308847,0.970817
sitting,114,10.166003,30.972212,11,10.067545,11.709544,12.353849,1.193164
sitting,117,8.738751,31.118357,11,10.067545,11.709544,12.353849,0.973743
sitting,107,8.480818,29.403287,11,10.067545,11.709544,12.353849,0.997276
sitting,116,9.556414,27.710936,11,10.067545,11.709544,12.353849,1.80844
sitting,103,9.166003,25.496372,11,10.067545,11.709544,12.353849,0.936473
sitting,111,10.300262,25.17875,11,10.068278,11.730859,12.398878,0.80599
sitting,108,10.409622,27.752185,11,10.068278,11.730859,12.398878,0.851166
sitting,103,10.643544,27.645309,10.22695,10.068278,11.730859,12.398878,0.997485
sitting,109,10.295179,28.495993,10,10.068278,11.730859,12.398878,1.065648
sitting,106,11.041003,27.549121,10,10.068278,11.730859,12.398878,1.001769
kneeling,110,9.713129,28.030586,10,10.068278,11.730859,12.398878,1.070323
sitting,104,8.985823,28.917927,10,10.069012,11.752179,12.421404,1.134895
