@relation '9'

@attribute pred_Activity {lying,walking,sitting,standing,kneeling,allfours,transition,standing_leaning,cycling,running}
@attribute peakCount numeric
@attribute Z_breathRate numeric
@attribute Z_heartRate numeric
@attribute Z_skinTemp numeric
@attribute SW_GSR numeric
@attribute SW_NearBodyTemp numeric
@attribute SW_skinTemp numeric
@attribute cosmed numeric

@data
lying,4,9.437294,33.944166,9,10.001183,9.19551,9.735903,1.597558
lying,11,9.002511,35.193983,9,10.001183,9.19551,9.735903,1.543116
lying,2,7.974988,33.8688,9,10.001183,9.19551,9.735903,2.178059
lying,3,5.279648,32.689658,9,10.001183,9.19551,9.735903,1.233502
lying,25,5.302288,33.067351,9,10.001183,9.19551,9.735903,1.970411
lying,1,4.450239,30.419009,9,10.001183,9.19551,9.735903,2.772593
lying,10,4.0714,29.391736,9,10.001183,9.19551,9.735903,1.179162
lying,6,5.626068,29.922914,9,10.001183,9.19551,9.735903,1.053466
lying,4,5.16504,30.294671,9,10.001183,9.19551,9.735903,0.92624
lying,4,5.786419,29.897483,9,10.001183,9.19551,9.735903,0.717722
lying,2,7.501372,31.840483,9,10.000449,9.383777,9.778923,0.805549
lying,4,5.806476,32.45341,9,10.000449,9.383777,9.778923,1.499138
lying,1,6.512578,30.72507,9,10.000449,9.383777,9.778923,1.21317
lying,8,6.800186,29.756853,9,10.000449,9.383777,9.778923,1.545662
lying,4,9.291148,30.6531,9.856818,10.000449,9.383777,9.778923,1.267891
lying,0,13.03871,32.158705,10,10.000449,9.383777,9.778923,1.326276
lying,5,14.776484,31.932832,10,9.999716,9.572394,9.843496,1.678022
lying,0,12.135845,30.32507,10,9.999716,9.572394,9.843496,1.313755
lying,4,7.533124,29.099219,10,9.999716,9.572394,9.843496,1.17636
lying,3,7.977224,28.789437,10,9.999716,9.572394,9.843496,0.965964
lying,1,8.397431,28.911367,10,9.999716,9.572394,9.843496,1.714804
lying,2,8.411707,28.598633,10,9.999716,9.572394,9.843496,1.520082
lying,3,8.199821,28.6877,10,9.999716,9.761373,9.908121,1.040018
lying,0,7.588484,28.803501,10,9.999716,9.761373,9.908121,1.371258
lying,3,9.199308,29.492423,10,9.999716,9.761373,9.908121,1.118915
lying,2,12.815429,32.658997,10,9.999716,9.761373,9.908121,1.318048
lying,5,11.984453,35.10054,10,9.999716,9.761373,9.908121,1.645421
lying,3,10.285657,32.411961,10,9.999716,9.761373,9.908121,1.842632
lying,3,11.048972,31.088639,10,9.999716,9.950721,9.972799,0.908278
lying,1,11.910169,32.121466,10,9.999716,9.950721,9.972799,1.323436
lying,1,14.145369,32.627564,10,9.999716,9.950721,9.972799,1.415277
