@relation '8'

@attribute pred_Activity {lying,walking,sitting,standing,kneeling,allfours,transition,standing_leaning,cycling,running}
@attribute peakCount numeric
@attribute Z_breathRate numeric
@attribute Z_heartRate numeric
@attribute Z_skinTemp numeric
@attribute SW_GSR numeric
@attribute SW_NearBodyTemp numeric
@attribute SW_skinTemp numeric
@attribute cosmed numeric

@data
lying,60,21.288245,64.207904,10.826832,10.49333,11.326252,12.635523,1.900515
lying,49,19.694266,74.753791,10.824007,10.49333,11.326252,12.635523,2.925832
lying,46,19.236986,76.712475,11.324007,10.49333,11.326252,12.635523,2.850951
lying,53,24.145008,71.009802,11.824007,10.237881,12.024782,12.949011,3.22801
lying,60,25.834193,67.68151,11.824007,10.237881,12.024782,12.949011,3.025007
lying,49,26.228655,67.245446,11.824007,10.237881,12.024782,12.949011,3.541948
lying,53,27.026964,68.790716,11.824007,10.237881,12.024782,12.949011,4.236175
lying,53,27.583383,67.305065,11.824007,10.237881,12.024782,12.949011,4.208799
lying,45,27.312368,66.236128,11.824007,10.237881,12.024782,12.949011,4.11618
lying,46,27.838285,63.329575,11.824007,10.287776,12.024782,13.106314,3.776159
lying,56,27.409714,61.925734,11.824007,10.287776,12.024782,13.106314,4.024189
lying,54,28.250373,59.762725,11.824007,10.287776,12.024782,13.106314,3.636429
lying,53,29.105026,62.186718,11.824007,10.287776,12.024782,13.106314,3.851927
lying,48,30.409714,65.694044,11.824007,10.287776,12.024782,13.106314,4.287871
lying,52,31.081671,65.9473,11.824007,10.287776,12.024782,13.106314,4.086558
lying,46,31.351203,66.175193,11.824007,10.303186,12.046036,13.241453,4.163008
lying,53,29.948574,67.898721,11.824007,10.303186,12.046036,13.241453,3.925515
lying,56,29.580698,69.041208,11.824007,10.303186,12.046036,13.241453,3.937741
lying,48,30.113218,70.378317,11.824007,10.303186,12.046036,13.241453,4.538248
lying,47,30.287901,71.531147,11.824007,10.303186,12.046036,13.241453,4.002362
lying,41,31.653616,70.652165,11.824007,10.303186,12.046036,13.241453,3.404264
lying,42,31.809122,67.990959,11.824007,10.292179,12.088554,13.331701,4.272538
lying,43,31.31588,64.567192,11.824007,10.292179,12.088554,13.331701,3.971304
lying,45,29.939291,64.094934,11.824007,10.292179,12.088554,13.331701,3.421129
lying,54,29.423047,64.434051,11.824007,10.292179,12.088554,13.331701,4.572456
lying,47,30.409714,65.207663,11.824007,10.292179,12.088554,13.331701,3.827846
lying,49,29.814353,64.701323,11.824007,10.292179,12.088554,13.331701,3.538732
lying,41,27.697979,64.894201,11.824007,10.317864,12.152374,13.354284,3.752938
lying,48,27.529077,64.997284,11.824007,10.317864,12.152374,13.354284,4.177024
lying,50,29.843724,63.16176,11.824007,10.317864,12.152374,13.354284,3.853314
