@relation '5'

@attribute pred_Activity {lying,walking,sitting,standing,kneeling,allfours,transition,standing_leaning,cycling,running}
@attribute peakCount numeric
@attribute Z_breathRate numeric
@attribute Z_heartRate numeric
@attribute Z_skinTemp numeric
@attribute SW_GSR numeric
@attribute SW_NearBodyTemp numeric
@attribute SW_skinTemp numeric
@attribute cosmed numeric

@data
lying,1,16.16449,35.486994,9.721663,10.025705,8.627353,9.207948,2.077167
lying,3,17.973745,34.886994,9.721663,10.025705,8.627353,9.207948,1.880938
lying,1,18.66665,34.674134,9.721663,10.025705,8.627353,9.207948,1.583336
lying,1,15.031307,32.80573,9.721663,10.025705,8.627353,9.207948,1.478164
lying,0,11.088957,33.193482,9.721663,10.025705,8.627353,9.207948,1.874428
lying,1,11.066422,33.687909,9.721663,10.025705,8.627353,9.207948,1.591319
lying,1,11.090525,33.263411,9.721663,10.025705,8.627353,9.207948,1.576393
lying,1,11.267396,32.179511,9.721663,10.015441,8.856582,9.359998,1.552388
lying,0,10.988094,32.08567,9.721663,10.015441,8.856582,9.359998,1.562864
lying,0,11.075576,32.11125,9.721663,10.015441,8.856582,9.359998,1.372069
lying,0,10.847879,32.475909,9.721663,10.015441,8.856582,9.359998,1.365001
lying,0,11.614622,32.912398,9.721663,10.015441,8.856582,9.359998,1.585938
lying,1,12.473745,35.066132,9.721663,10.015441,8.856582,9.359998,1.596812
lying,0,11.399588,35.044297,9.721663,10.008844,9.149054,9.534143,1.400022
lying,0,9.509459,33.717351,9.721663,10.008844,9.149054,9.534143,1.353236
lying,1,10.473745,32.041189,9.721663,10.008844,9.149054,9.534143,1.38497
lying,1,10.179895,31.75032,9.721663,10.008844,9.149054,9.534143,1.46211
lying,0,11.223745,30.029851,9.721663,10.008844,9.149054,9.534143,1.255085
lying,0,11.014841,29.992017,9.721663,10.008844,9.149054,9.534143,1.214956
lying,0,11.326423,29.886994,9.721663,10.004446,9.44237,9.686855,1.187891
lying,0,11.473745,29.886994,9.721663,10.004446,9.44237,9.686855,1.299959
lying,0,11.473745,30.185435,9.721663,10.004446,9.44237,9.686855,1.200012
